Case_Number,Vehicle No.,Body Type,Speed Exceed,Driver Safety,Pedestrian Crash,Hit/Run
62081,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62084,1,Two Wheel Motorcycle (excluding motor scooters),No,Improper or Erratic Lane Changing,Off the edge of the road on the left side,No
62088,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62092,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions",Improper Lane Usage,Off the edge of the road on the left side,No
62093,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62098,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
62101,1,Light Pickup,"Yes, Too Fast for Conditions",Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62102,1,Unknown body type,No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,Yes
62105,1,5-door/4-door hatchback,No,Improper or Erratic Lane Changing,Off the edge of the road on the left side,No
62107,1,Light Pickup,No,Improper Lane Usage,Other cause of control loss (specify:),No
62110,2,5-door/4-door hatchback,No,Stopped in Roadway (Vehicle Not Abandoned),Traveling in opposite direction,No
62111,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
62113,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62115,1,Station Wagon (excluding van and truck based),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Left,No
62116,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Traveling Too Fast for Conditions or Road Configuration,No
62117,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),"From crossing street, turning into opposite direction",No
62122,1,Light Pickup,"Yes, Too Fast for Conditions",Following Improperly,Other vehicle stopped,No
62130,1,Light Pickup,No,Making Other Improper Turn,Off the edge of the road on the left side,No
62131,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62133,2,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Turning Left,No
62135,1,Light Pickup,"Yes, Too Fast for Conditions",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
62136,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
62141,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62145,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Off the edge of the road on the left side,No
62149,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
62158,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62159,1,"Single-unit straight truck or Cab-Chassis (GVWR range 19,501 to 26,000 lbs.)",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62164,1,Station Wagon (excluding van and truck based),"Yes, Exceeded Speed Limit","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,Yes
62164,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Looked But Did Not See,"From crossing street, across path",No
62166,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
62172,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62173,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Right,No
62175,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62176,1,"Auto-based pickup (includes E1 Camino, Caballero, Ranchero, SSR, G8-ST, Subaru Brat, Rabbit Pickup)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Off the edge of the road on the left side,No
62178,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Driver Has Not Complied With Physical or Other Imposed Restrictions (not including GDL Restrictions),Animal in road,No
62180,1,5-door/4-door hatchback,No,Looked But Did Not See,Pedestrian in road,No
62181,1,"4-door sedan, hardtop",No,Starting or Backing Improperly,Other cause of control loss (specify:),No
62191,1,"4-door sedan, hardtop",No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
62195,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62197,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62205,2,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,"Transportation (i.e. maintenance workers, safety service patrol operators, etc.)",Traveling in same direction with higher speed,No
62206,1,Transit Bus (City Bus),No,"Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Off the edge of the road on the right side,No
62208,1,Light Pickup,No,Failure to Yield Right-of-Way,Turning Left,No
62212,1,Two Wheel Motorcycle (excluding motor scooters),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Left,No
62213,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Turning Left,No
62214,1,"4-door sedan, hardtop",No,Overcorrecting,Off the edge of the road on the right side,No
62217,1,Unknown body type,No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
62219,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62229,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)","Yes, Too Fast for Conditions",Following Improperly,Other vehicle stopped,No
62230,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62233,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Off the edge of the road on the right side,No
62236,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Making a U-Turn,No
62239,1,"Cab Chassis Based (includes Rescue Vehicle, Light Stake, Dump, and Tow Truck)","Yes, Too Fast for Conditions",Improper or Erratic Lane Changing,Traveling in same direction while decelerating,No
62240,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62242,1,Three-wheel Motorcycle (2 Rear Wheels),"Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Traveling Too Fast for Conditions or Road Configuration,No
62245,1,"Convertible(excludes sun-roof,t-bar)","Yes, Too Fast for Conditions",Failure to Yield Right-of-Way,Pedestrian in road,Yes
62246,1,Station Wagon (excluding van and truck based),"Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62247,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62252,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62254,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Getting Off/Out of a Vehicle,Unknown cause of control loss,No
62258,1,5-door/4-door hatchback,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62264,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62267,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62268,1,Light Pickup,No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62274,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62275,1,"Utility station wagon (includes suburban limousines, Suburban, Travellall, Grand Wagoneer)","Yes, Too Fast for Conditions",Overcorrecting,Traveling Too Fast for Conditions or Road Configuration,No
62276,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Overcorrecting,Over the lane line on right side of travel lane,No
62281,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62284,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62288,1,"4-door sedan, hardtop",No,Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62290,1,Two Wheel Motorcycle (excluding motor scooters),No,"Passing where Prohibited by Posted Signs, Pavement Markings or School Bus Displaying Warning not to Pass",Traveling in opposite direction,No
62292,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62294,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",In crossover,No
62295,2,Two Wheel Motorcycle (excluding motor scooters),No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,From adjacent lane (same direction) over right lane line,No
62296,1,Two Wheel Motorcycle (excluding motor scooters),No,Improper Lane Usage,Unknown cause of control loss,No
62299,1,Light Pickup,No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Pedalcyclist or other non-motorist in road,No
62306,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62314,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62317,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Off the edge of the road on the right side,Yes
62318,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Following Improperly,Traveling in same direction while decelerating,No
62320,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Over the lane line on left side of travel lane,No
62321,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Pedestrian in road,No
62322,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62323,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Looked But Did Not See,Pedalcyclist or other non-motorist in road,No
62324,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62325,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
62332,1,Light Pickup,No,Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62333,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Making Other Improper Turn,Pedalcyclist or other non-motorist in road,Yes
62334,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62335,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
62338,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Looked But Did Not See,Pedestrian in road,No
62340,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62341,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62348,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62350,1,Two Wheel Motorcycle (excluding motor scooters),No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62350,2,5-door/4-door hatchback,No,Alcohol and/or Drug Test Refused,Turning Left,No
62351,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62354,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62355,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Over the lane line on left side of travel lane,No
62357,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62363,1,"Large Van-Includes van-based buses (B150-B350, Sportsman, Royal Maxiwagon, Ram, Tradesman,...)",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62367,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",From opposite direction  over left lane line,No
62368,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62370,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
62372,1,"4-door sedan, hardtop",No,Improper or Erratic Lane Changing,Other critical precrash event (specify:),No
62373,1,Unenclosed Three Wheel Motorcycle / Unenclosed Autocycle (1 Rear Wheel),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws","From crossing street, across path",No
62375,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Intentional Illegal Driving Off the Roadway,Off the edge of the road on the right side,No
62378,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62382,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,No
62387,1,"4-door sedan, hardtop",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62388,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Off the edge of the road on the right side,No
62392,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62393,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62394,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Alcohol and/or Drug Test Refused,Pedalcyclist or other non-motorist in road,Yes
62395,1,"Other vehicle type (includes go-cart, fork-lift, city street sweeper dunes/swamp buggy)",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",In crossover,No
62396,2,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62397,1,Light Pickup,"Yes, Too Fast for Conditions",Alcohol and/or Drug Test Refused,Traveling Too Fast for Conditions or Road Configuration,No
62400,1,"4-door sedan, hardtop",No,Driver Has Not Complied With Physical or Other Imposed Restrictions (not including GDL Restrictions),Pedestrian in road,No
62404,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Improper Lane Usage,Over the lane line on left side of travel lane,No
62406,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Looked But Did Not See,Pedestrian in road,No
62408,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Off the edge of the road on the right side,No
62412,1,Motor Scooter,No,Failure to Yield Right-of-Way,Turning Left,No
62413,1,Light Pickup,No,Looked But Did Not See,Pedestrian in road,No
62414,1,Two Wheel Motorcycle (excluding motor scooters),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62415,1,Light Pickup,No,Failure to Yield Right-of-Way,Pedestrian in road,Yes
62416,2,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws","From crossing street, across path",No
62419,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",From opposite direction  over left lane line,No
62419,2,"4-door sedan, hardtop",No,Driver Has Not Complied With Physical or Other Imposed Restrictions (not including GDL Restrictions),In crossover,No
62422,1,"2-door sedan,hardtop,coupe",No,Making Other Improper Turn,Making a U-Turn,No
62426,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
62429,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62432,1,Two Wheel Motorcycle (excluding motor scooters),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Other critical precrash event (specify:),No
62433,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62434,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Operating without Required Equipment,Traveling Too Fast for Conditions or Road Configuration,No
62436,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62437,1,Station Wagon (excluding van and truck based),No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62438,1,Two Wheel Motorcycle (excluding motor scooters),"Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62439,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions",Improper Lane Usage,Over the lane line on left side of travel lane,No
62441,1,"Convertible(excludes sun-roof,t-bar)",No,Failure to Yield Right-of-Way,Turning Left,No
62442,1,"4-door sedan, hardtop",No,Overcorrecting,Other cause of control loss (specify:),No
62443,1,"2-door sedan,hardtop,coupe","Yes, Exceeded Speed Limit","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Traveling Too Fast for Conditions or Road Configuration,No
62444,1,Two Wheel Motorcycle (excluding motor scooters),No,"Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Crossing over (passing through) Junction,No
62444,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Looked But Did Not See,From opposite direction  over right lane line,No
62445,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62449,1,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Pedestrian in road,No
62455,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62456,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Pedalcyclist or other non-motorist in road,Yes
62457,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")","Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",From opposite direction  over left lane line,No
62460,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Off the edge of the road on the left side,No
62461,2,"4-door sedan, hardtop",No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Traveling in opposite direction,No
62463,1,"4-door sedan, hardtop",No,Driver Has Not Complied With Physical or Other Imposed Restrictions (not including GDL Restrictions),Off the edge of the road on the right side,No
62467,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62468,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62477,1,Light Pickup,"Yes, Too Fast for Conditions","Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws","From crossing street, turning into same direction",No
62483,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62495,1,"4-door sedan, hardtop",No,Looked But Did Not See,Turning Left,No
62496,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62501,2,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62502,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62505,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62506,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62507,1,5-door/4-door hatchback,No,Failure to Yield Right-of-Way,Turning Left,No
62508,1,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Failure to Yield Right-of-Way,In crossover,No
62510,1,Two Wheel Motorcycle (excluding motor scooters),No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62512,1,5-door/4-door hatchback,No,Reaction to or Failure to Take Drugs/Medication,Off the edge of the road on the left side,No
62515,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Failure to Yield Right-of-Way,Pedestrian in road,No
62516,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62517,1,Light Pickup,No,Looked But Did Not See,Pedalcyclist or other non-motorist in road,No
62522,1,"4-door sedan, hardtop",No,Improper Lane Usage,Turning Left,No
62523,2,Light Pickup,No Driver Present/Unknown if Driver Present,Leaving Vehicle Unattended with Engine Running. Leaving Vehicle Unattended in Roadway,Traveling in same direction with higher speed,No
62524,1,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Looked But Did Not See,Turning Right,No
62526,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions",Mentally Challenged,Traveling Too Fast for Conditions or Road Configuration,No
62530,1,Station Wagon (excluding van and truck based),No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62531,1,Light Pickup,No Driver Present/Unknown if Driver Present,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
62532,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Over the lane line on left side of travel lane,No
62536,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62538,1,Two Wheel Motorcycle (excluding motor scooters),No,Phantom Vehicle,"From crossing street, turning into opposite direction",No
62542,1,"4-door sedan, hardtop",No,Improper Lane Usage,Off the edge of the road on the left side,No
62544,1,Light Pickup,No,Stopped in Roadway (Vehicle Not Abandoned),Traveling in same direction with higher speed,No
62545,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62547,1,ATV/ATC [All-Terrain Cycle],No,"Failure to Obey Actual Traffic Sign,Traffic Control Devices or Traffic Officers;Failure to Obey Safety Zone Traffic Laws",Crossing over (passing through) Junction,No
62548,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62549,1,Light Pickup,No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62551,1,Station Wagon (excluding van and truck based),No,Failure to Yield Right-of-Way,Pedestrian in road,No
62552,1,"4-door sedan, hardtop",No,Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
62553,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions",Failure to Yield Right-of-Way,Pedestrian in road,Yes
62555,1,"4-door sedan, hardtop","Yes, Exceeded Speed Limit",Passing with Insufficient Distance or Inadequate Visibility or Failing to Yield to Overtaking Vehicle,Over the lane line on left side of travel lane,No
62557,1,Two Wheel Motorcycle (excluding motor scooters),No,Improper or Erratic Lane Changing,Other critical precrash event (specify:),No
62559,1,"Single-unit straight truck or Cab-Chassis (GVWR range 10,001 to 19,500 lbs.)",No,Looked But Did Not See,Over the lane line on left side of travel lane,No
62564,1,"Cab Chassis Based (includes Rescue Vehicle, Light Stake, Dump, and Tow Truck)",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62565,1,"Minivan (Chrysler Town and Country, Caravan, Grand Caravan, Voyager, Voyager, Honda-Odyssey, ...)",No,Failure to Yield Right-of-Way,Pedalcyclist or other non-motorist in road,No
62566,1,"Large utility (ANSI D16.1 Utility Vehicle Categories and ""Full Size"" and ""Large"")","Yes, Too Fast for Conditions","Ice, Snow, Slush, Water, Sand, Dirt, Oil, Wet Leaves on Road",Traveling Too Fast for Conditions or Road Configuration,No
62570,3,"Compact Utility (Utility Vehicle Categories ""Small"" and ""Midsize"")",No,Driver has not complied with Learner`s Permit or Intermediate Driver License Restrictions (GDL Restrictions),From adjacent lane (same direction) over right lane line,No
62571,1,"4-door sedan, hardtop",No,Improper Lane Usage,Over the lane line on left side of travel lane,No
62571,2,"Truck-tractor (Cab only, or with any number of trailing unit; any weight)",No,Driver Has a Driving Record or Driver`s License From More Than One State,Traveling in opposite direction,No
62572,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62573,1,"Medium/heavy Pickup (GVWR greater than 10,000 lbs.)",No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Traveling in opposite direction,No
62576,1,5-door/4-door hatchback,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Other critical precrash event (specify:),No
62580,1,Light Pickup,No,Driving on Wrong Side of Two-Way Trafficway (Intentional or Unintentional),Over the lane line on left side of travel lane,No
62581,1,"4-door sedan, hardtop","Yes, Too Fast for Conditions",Improper Lane Usage,Traveling Too Fast for Conditions or Road Configuration,No
62582,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Turning Left,No
62583,1,"4-door sedan, hardtop",No,Failure to Yield Right-of-Way,Crossing over (passing through) Junction,No
62588,1,"2-door sedan,hardtop,coupe","Yes, Too Fast for Conditions","Operating the Vehicle in an Erratic, Reckless or Negligent Manner.",Traveling Too Fast for Conditions or Road Configuration,No
